kappa,a,sigma,EA,EF,IF,SIA,FT
2.000000000000000111e-01,1.239999999999999991e+00,1.574801574802362492e-01,6.766562770056662179e-01,5.029260855517455608e-01,7.046178288985300853e-01,6.713201194054330134e-01,5.067884346349675884e-01
2.000000000000000111e-01,1.280000000000000027e+00,1.600000000000000033e-01,6.815071957904221822e-01,5.214586147154669504e-01,6.997637388562077954e-01,6.870634073882991855e-01,5.149145934013206194e-01
2.000000000000000111e-01,1.320000000000000062e+00,1.624807680927192188e-01,6.941769181139162415e-01,3.780383013320572916e-01,6.951241965047778582e-01,6.752189526115157658e-01,4.969914186796395295e-01
2.000000000000000111e-01,1.360000000000000098e+00,1.649242250247064390e-01,6.748738904599691502e-01,5.019264222037751466e-01,6.804811738388055753e-01,6.672474961950849437e-01,4.842652388655709905e-01
2.000000000000000111e-01,1.400000000000000133e+00,1.673320053068151347e-01,6.485794545681925483e-01,4.971720708083877116e-01,6.462792670734847089e-01,6.364120558196453281e-01,5.057550253725969780e-01
2.000000000000000111e-01,1.440000000000000169e+00,1.697056274847714430e-01,6.415353963089308609e-01,4.575463765883961420e-01,6.369788838009624587e-01,6.444205128504102431e-01,4.816574622227817182e-01
2.000000000000000111e-01,1.479999999999999982e+00,1.720465053408525569e-01,6.404128692285219193e-01,3.223968344160534905e-01,6.586780137594387963e-01,6.512802400156112448e-01,4.928042933164689665e-01
2.000000000000000111e-01,1.520000000000000018e+00,1.743559577416269601e-01,6.061858792581372724e-01,3.699649566310461157e-01,6.133907254500033934e-01,6.227094576473010124e-01,5.025474104706864065e-01
2.000000000000000111e-01,1.560000000000000053e+00,1.766352173265569592e-01,6.218384116029516129e-01,3.187611565569417604e-01,6.023907541918781527e-01,6.067737713415662926e-01,4.663520562653737378e-01
2.000000000000000111e-01,1.600000000000000089e+00,1.788854381999832044e-01,6.087161409759616060e-01,3.901407999280209760e-01,5.980844498484132465e-01,6.149543995932391649e-01,4.829035054113290371e-01
