regime,scheme,scheme_variant,noise,payoff,n_steps,dt,n_paths,approx_mean,exact_value,signed_error,weak_error,mc_standard_error,error_to_se,runtime_s,steps_per_path,backstop_fraction,estimator,signed_error_cv,mc_standard_error_cv,error_to_se_cv,variance_reduction,batch_standard_error_cv
B,KL,uniform,shared,g1,8,0.125,200000,0.01791547079160889,0.02,-0.002084529208391112,0.002084529208391112,2.9185464185041847e-05,71.42354136205503,0.023797532000116917,nan,nan,control-variate,-0.002077353720131455,5.88460604191457e-06,353.0149181330044,24.59792218761264,2.939540067647559e-06
B,KL,uniform,shared,g2,8,0.125,200000,9.445238279204959e-05,0.00013225886209954651,-3.780647930749693e-05,3.780647930749693e-05,7.548228039107475e-07,50.086562186013765,0.023797532000116917,nan,nan,control-variate,-3.746042247451813e-05,3.4087189773963463e-07,109.89589556347416,4.903516345558418,2.53507508095774e-07
B,KL,uniform,shared,g3,8,0.125,200000,0.9823272493640308,0.9802942861622658,0.0020329632017650726,0.0020329632017650726,2.8426358627672733e-05,71.51683507524619,0.023797532000116917,nan,nan,control-variate,0.0020261593611271764,5.688815795771278e-06,356.16540135352966,24.96886024784982,2.800271083140203e-06
B,KL,uniform,shared,g4,8,0.125,200000,0.9815580805382974,0.9802358769207022,0.0013222036175951333,0.0013222036175951333,1.815471984107467e-05,72.82974505636136,0.023797532000116917,nan,nan,control-variate,0.001325421378926566,3.847432541715999e-06,344.49502741259573,22.265736996973278,4.8800365703479715e-06
B,IF,fixed,shared,g1,8,0.125,200000,0.01953769055988761,0.02,-0.0004623094401123924,0.0004623094401123924,2.94857347162301e-05,15.679088364649745,0.02953847600019799,nan,nan,control-variate,-0.00045329859154173414,5.2708878301374225e-06,86.00042462484271,31.293659987939012,3.297893352582143e-06
B,IF,fixed,shared,g2,8,0.125,200000,0.0001121916912851231,0.00013225886209954651,-2.006717081442342e-05,2.006717081442342e-05,8.450033293840073e-07,23.7480375717005,0.02953847600019799,nan,nan,control-variate,-1.96673872274424e-05,3.610058948654553e-07,54.47940742012624,5.478835399110306,2.501922406478179e-07
B,IF,fixed,shared,g3,8,0.125,200000,0.9807366891616223,0.9802942861622658,0.0004424029993564556,0.0004424029993564556,2.8662629909963956e-05,15.434836257040864,0.02953847600019799,nan,nan,control-variate,0.0004338097729209696,5.049162585761359e-06,85.91717251179698,32.225032304141195,3.139939146193617e-06
B,IF,fixed,shared,g4,8,0.125,200000,0.9804590011270574,0.9802358769207022,0.00022312420635519042,0.00022312420635519042,1.812068803847432e-05,12.31323037411423,0.02953847600019799,nan,nan,control-variate,0.00022441793762934204,3.977802026696139e-06,56.41757335413142,20.752147139526333,5.213473127364296e-06
B,BLT,fixed,shared,g1,8,0.125,200000,0.019469745805624897,0.02,-0.0005302541943751047,0.0005302541943751047,2.756430199464698e-05,19.236989729617704,0.035756871000103274,nan,nan,control-variate,-0.0005207002031653874,4.833400679525051e-06,107.7295754459474,32.52283540351443,3.908290597350138e-06
B,BLT,fixed,shared,g2,8,0.125,200000,9.768330241193392e-05,0.00013225886209954651,-3.45755596876126e-05,3.45755596876126e-05,7.433100839946155e-07,46.515660734481656,0.035756871000103274,nan,nan,control-variate,-3.419112906561198e-05,3.321579231635462e-07,102.93636454602088,5.0078442862833406,2.4970673214468994e-07
