backstop_fraction,dt,l1,l2,mean_steps_per_path,proj_post_projection_fraction,proj_pre_floor_fraction,proj_y_floor,reference,reference_n_steps,regime,runtime_s,scheme,scheme_variant,sensitivity_kind
0.3916386077971075,0.0078125,0.00018465924501000533,0.0003836849177898038,2815.9545,,,,HH,16384,D,3.5392312000039965,KLM,projected,strong_error
0.3774254930889793,0.00390625,0.0001103235390095323,0.00018976100495035332,6035.3965,,,,HH,16384,D,5.675676099956036,KLM,projected,strong_error
0.4222574231778146,0.001953125,0.00011052302160904726,0.00019414433262335084,8909.796,,,,HH,16384,D,5.199599799932912,KLM,projected,strong_error
nan,0.0625,0.02052167649241191,0.04481223317229221,16.0,,,,HH,16384,E,0.056699100183323026,FTE,fixed,strong_error
nan,0.03125,0.01802223375369163,0.038695943319514085,32.0,,,,HH,16384,E,0.04696240019984543,FTE,fixed,strong_error
nan,0.015625,0.015847229405079325,0.03520917694008013,64.0,,,,HH,16384,E,0.039398299995809793,FTE,fixed,strong_error
nan,0.0078125,0.014044304130119912,0.034330778814891834,128.0,,,,HH,16384,E,0.031549999956041574,FTE,fixed,strong_error
nan,0.00390625,0.012057536856071754,0.02797281250839513,256.0,,,,HH,16384,E,0.04571780003607273,FTE,fixed,strong_error
nan,0.001953125,0.010555712628164848,0.025213882359543232,512.0,,,,HH,16384,E,0.06319839996285737,FTE,fixed,strong_error
nan,0.0625,0.021731136467472732,0.03167816498889164,16.0,0.45175,0.42584375,0.1,HH,16384,E,0.05407100007869303,ProjEuler,fixed,strong_error
nan,0.03125,0.015186305163180503,0.024565307526283577,32.0,0.36253125,0.35203125,0.07071067811865477,HH,16384,E,0.04475470003671944,ProjEuler,fixed,strong_error
nan,0.015625,0.010923872660753741,0.01928694963101431,64.0,0.2980546875,0.2935234375,0.05,HH,16384,E,0.044904800131917,ProjEuler,fixed,strong_error
nan,0.0078125,0.008330789662220124,0.015872485156149432,128.0,0.24885546875,0.24698046875,0.03535533905932738,HH,16384,E,0.057742000091820955,ProjEuler,fixed,strong_error
nan,0.00390625,0.0060974614174506775,0.012626732355817587,256.0,0.21137890625,0.2105703125,0.025,HH,16384,E,0.07408949988894165,ProjEuler,fixed,strong_error
nan,0.001953125,0.004332671999521019,0.009732235920102365,512.0,0.180646484375,0.1802861328125,0.01767766952966369,HH,16384,E,0.10083740018308163,ProjEuler,fixed,strong_error
0.4567497053520162,0.0625,0.01520272629065156,0.032146937515543796,49.6355,,,,HH,16384,E,0.55961519991979,KL,adaptive-soft-zero,strong_error
0.4468241138244457,0.03125,0.013331267283816355,0.02982048420538255,93.407,,,,HH,16384,E,0.5310885000508279,KL,adaptive-soft-zero,strong_error
0.4311684950611781,0.015625,0.011572607691390811,0.025704546409649323,173.8775,,,,HH,16384,E,0.636556199984625,KL,adaptive-soft-zero,strong_error
0.4129048582215166,0.0078125,0.010737866879100335,0.025612121907331014,324.0795,,,,HH,16384,E,0.7778181999456137,KL,adaptive-soft-zero,strong_error
0.3980099908181022,0.00390625,0.009324666786251034,0.022361516713636266,613.163,,,,HH,16384,E,0.9939008001238108,KL,adaptive-soft-zero,strong_error
