sensitivity_kind,kappa,a,sigma,level,hmax,reference_power,reference_step,number_of_fine_steps,n_paths,rmse,backstop_fraction,mean_steps_per_path,runtime_s
klm_fig3_jax,2.0,1.6,0.5656854249492381,4,0.0625,14,6.103515625e-05,16384,256,0.0010243847938076287,0.1982579329942549,189.69921875,0.42138531499995224
klm_fig3_jax,2.0,1.6,0.5656854249492381,5,0.03125,14,6.103515625e-05,16384,256,0.000490136617167942,0.18672519068275734,380.0078125,0.4329709719999073
klm_fig3_jax,2.0,1.6,0.5656854249492381,6,0.015625,14,6.103515625e-05,16384,256,0.00023698157351276607,0.17777834252458766,768.53515625,0.4735060349999003
klm_fig3_jax,2.0,1.6,0.5656854249492381,7,0.0078125,14,6.103515625e-05,16384,256,0.00012054976144273932,0.16786474150989555,1580.76953125,0.5443273150000323
klm_fig3_jax,2.0,1.6,0.5656854249492381,8,0.00390625,14,6.103515625e-05,16384,256,5.0401479412649316e-05,0.15394890845249606,3377.515625,0.7290399839999964
klm_fig3_jax,2.0,1.6,0.5656854249492381,9,0.001953125,14,6.103515625e-05,16384,256,2.372210849021968e-05,0.20088605592097827,6048.57421875,0.8669639580000421
klm_fig3_jax,2.0,0.0,0.0,4,0.0625,16,1.52587890625e-05,65536,256,0.00011576601001226511,0.0,85.0,0.6734394999999722
klm_fig3_jax,2.0,0.0,0.0,5,0.03125,16,1.52587890625e-05,65536,256,5.789034749342781e-05,0.0,170.0,0.40748067399999854
klm_fig3_jax,2.0,0.0,0.0,6,0.015625,16,1.52587890625e-05,65536,256,2.8988745200721203e-05,0.0,340.0,0.4093371669999897
klm_fig3_jax,2.0,0.0,0.0,7,0.0078125,16,1.52587890625e-05,65536,256,1.453045514368534e-05,0.0,681.0,0.41832615199996326
klm_fig3_jax,2.0,0.0,0.0,8,0.00390625,16,1.52587890625e-05,65536,256,7.302888982818612e-06,0.0,1368.0,0.4467342789999975
klm_fig3_jax,2.0,0.0,0.0,9,0.001953125,16,1.52587890625e-05,65536,256,3.691320436795265e-06,0.0,2764.0,0.49833807299989985
klm_fig3_jax,2.0,0.04,0.08944271909999159,4,0.0625,16,1.52587890625e-05,65536,256,0.00018043721536325537,0.0,86.13671875,0.3992049199999883
klm_fig3_jax,2.0,0.04,0.08944271909999159,5,0.03125,16,1.52587890625e-05,65536,256,9.218888510658074e-05,0.0,171.79296875,0.3962264110000433
klm_fig3_jax,2.0,0.04,0.08944271909999159,6,0.015625,16,1.52587890625e-05,65536,256,4.511149371097346e-05,0.0,343.51171875,0.4221853020000026
klm_fig3_jax,2.0,0.04,0.08944271909999159,7,0.0078125,16,1.52587890625e-05,65536,256,2.190929068215218e-05,0.0,688.2734375,0.4331101650000164
klm_fig3_jax,2.0,0.04,0.08944271909999159,8,0.00390625,16,1.52587890625e-05,65536,256,1.1784551653165525e-05,0.0,1383.390625,0.4554266650000045
klm_fig3_jax,2.0,0.04,0.08944271909999159,9,0.001953125,16,1.52587890625e-05,65536,256,5.684243194074647e-06,0.0,2796.56640625,0.5212579169999572
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,4,0.0625,16,1.52587890625e-05,65536,256,0.00035257338490179627,0.0,92.9375,0.411386967999988
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,5,0.03125,16,1.52587890625e-05,65536,256,0.00018274035328526677,0.0,185.49609375,0.41792478600007144
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,6,0.015625,16,1.52587890625e-05,65536,256,8.46844054194804e-05,0.0,371.05078125,0.43588987299995097
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,7,0.0078125,16,1.52587890625e-05,65536,256,4.520363070861828e-05,0.0,743.8359375,0.45277628299993466
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,8,0.00390625,16,1.52587890625e-05,65536,256,2.1280276368512273e-05,0.0,1496.28125,0.49823884700003873
klm_fig3_jax,2.0,0.26285714285714284,0.22928460168844433,9,0.001953125,16,1.52587890625e-05,65536,256,1.0889702645860714e-05,0.0,3029.80078125,0.5835910969999532
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,4,0.0625,16,1.52587890625e-05,65536,256,0.000488780396781788,0.0010321495470010321,102.18359375,0.4035124150000229
klm_fig3_jax,2.0,0.4857142857142857,0.31167748898959186,5,0.03125,16,1.52587890625e-05,65536,256,0.00024715547142252145,0.00093851752537828,203.9453125,0.4166076129999965
